Source,URL,Mise à jour,Catégorie,Question,Réponse,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Qu’est-ce que le coronavirus COVID-19 ?,"Les coronavirus sont une famille de virus, qui provoquent des maladies allant d’un simple rhume (certains virus saisonniers sont des coronavirus) à des pathologies plus sévères comme le MERS-CoV ou le SRAS. 
Le virus identifié en janvier 2020 en Chine est un nouveau coronavirus, nommé SARS-CoV-2. La maladie provoquée par ce coronavirus a été nommée COVID-19 par l’Organisation mondiale de la Santé - OMS. Depuis le 11 mars 2020, l’OMS qualifie la situation mondiale du COVID-19 de pandémie ; c’est-à-dire que l’épidémie est désormais mondiale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,D’où vient le coronavirus COVID-19 ? ,Les premières personnes à avoir contracté le virus s’étaient rendues au marché de Wuhan dans la Province de Hubei en Chine. La maladie semblerait donc venir d’un animal (zoonose) mais l’origine n’a pas été confirmée.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quel est la dangerosité du coronavirus ?,"Le coronavirus est dangereux pour trois raisons :
-	Il est tres contagieux : chaque personne infectée va contaminer au moins 3 personnes en l'absence de mesures de protection.
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Les moustiques peuvent-ils transmettre le virus ?,Non il n’existe aucune preuve de transmission du virus à travers les moustiques, ou tout autre animal d’ailleurs. Le coronavirus COVID-19 se transmet entre humains, via les gouttelettes respiratoires. ,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Peut-on attraper la maladie par l’eau ?,À ce jour, il n’a pas été rapporté de contamination par l’eau. Cette maladie est à transmission interhumaine par la voie des gouttelettes (toux, éternuements, mains souillées par les gouttelettes). La source originelle du virus n’est pas encore identifiée mais semble d’origine animale.,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,La chaleur peut-elle tuer le virus ?,"Le coronavirus est un virus très récent dont on connaît encore mal le comportement. 
Nous ne savons donc pas si la hausse des températures avec la venue des beaux jours aura une incidence sur le virus. 
Toutefois, la chaleur tue effectivement le virus quand on veut décontaminer le linge. Il est recommandé de laver le linge contaminé à 60° pendant 30 minutes.  ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Quel comportement adopter avec vos animaux de compagnie ?,"Au vu des connaissances actuelles, les animaux de compagnie ne transmettent pas le virus COVID-19. Ce virus se transmet d'homme à homme. Le virus peut cependant vivre quelques heures sur le pelage d'un animal.
Pour éviter toute contamination et comme recommandé par l'ANSES : 
-	Séparez les animaux des personnes malades ou présumées malades ;
-	Ne laissez pas l'animal vous lécher le visage ;
-	Lavez-vous les mains avant et après avoir caressé un animal ;
-	Ne maltraitez pas votre animal en le nettoyant avec des produits inadaptés !
Il n'est pas utile de laver un animal qui sort en promenade.
De plus, tout produit qui n'est pas un produit adapté à l'animal (shampooing vétérinaire) ne doit en aucun cas être utilisé. Il peut nuire à votre animal comme à vous et votre entourage. L'usage de produits inadaptés (eau de javel...) voire agressifs pour l'animal, peut être assimilé à une véritable maltraitance et surtout ferait souffrir votre animal sans aucun bénéfice pour vous comme pour lui.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Existe-t-il des risques liés aux aliments ?,"Au vu des informations disponibles, le passage du coronavirus COVID-19 de l’être humain vers une autre espèce animale semble actuellement peu probable, et la possible contamination des denrées alimentaires d’origine animale (DAOA) à partir d’un animal infecté par le COVID-19 est exclue.
Les aliments crus ou peu cuits ne présentent pas de risques de transmission d’infection particuliers, dès lors que les bonnes règles d’hygiène habituelles sont respectées lors de la manipulation et de la préparation des denrées alimentaires.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Peut-on être contaminé en touchant un caddie de supermarché ?,Oui mais c’est peu probable. Les caddies, comme toutes les surfaces, peuvent servir de support au virus si elles sont souillées par des gouttelettes respiratoires d’un sujet contaminé. Le virus peut rester quelques heures sur une surface comme un caddie, mais en quantité faible. En appliquant les mesures barrières (se laver les mains notamment) et en nettoyant le caddie avec une lingette, le risque devient négligeable.,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Y a-t-il un risque concernant l’achat de pain à la boulangerie ?,Les sorties pour acheter du pain ou des produits alimentaires ne présentent pas de risque si les gestes barrières et les règles de distanciation sociale sont bien respectés. En restant à plus d’un mètre des autres clients, et en se lavant les mains lors du retour à domicile, il n’y a donc aucun risque à acheter du pain.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Puis-je continuer de recevoir et envoyer du courrier, notamment à destination des personnes fragiles (EHPAD…) ? Existe-t’il un risque de contamination ?,Il n’existe aucun risque de contamination par le courrier ou les colis. La Poste continue également son travail de distribution du courrier pendant l’épidémie.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Pourquoi le confinement n’entraîne-t-il pas plus rapidement des effets sur la propagation du virus et sur le nombre de nouveaux cas quotidiens ? Quels sont les autres indicateurs qui permettront de dire si ce confinement a bien un impact sanitaire positif ?,La période d’incubation du virus est de 5 à 14 jours. Ainsi, de nombreuses personnes aujourd’hui confinées ont été contaminées avant la mise en place des mesures de confinement mais ne sont pas encore symptomatiques. Après apparition des symptômes, il faut encore quelques jours, entre 5 à 8 jours selon les observations, pour que les symptômes s’aggravent et nécessitent une hospitalisation. Au total, il faut donc au moins de 10 jours pour que le confinement ait un premier impact sur les hospitalisations. Parmi les indicateurs utiles, le nombre de consultations en médecine de ville en lien avec des symptômes COVID-19 (après la période d’incubation) devrait être le premier indicateur à la baisse. Toutefois, ces données nécessiteront du temps afin d’être consolidées.,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Dépistage,Quelle est la stratégie des autorités sanitaires pour les tests ? Cette stratégie peut-elle évoluer ? ,"Les tests ne servent pas à mesurer, mais à contenir l’épidémie. En phase épidémique, le principe est de ne plus tester systématiquement. Il n’y pas de droit à être dépisté, et pas d’avantage particulier à le faire pour la population générale. 
Comme le font la plupart des pays et comme le recommande la Commission européenne, les tests sont donc actuellement réservés à des publics prioritaires qui sont : 
- Les professionnels de santé symptomatiques, 
- Les personnes âgées symptomatiques, 
- Les personnes présentant des difficultés respiratoires sévères ou des comorbidités, 
- Les personnes hospitalisées,
- Les nouveaux foyers et nouveaux territoires. 
Conformément aux recommandations de l’OMS qui incite dorénavant à tester massivement la population et au regard de l’évolution de l’épidémie, la stratégie de test en France va évoluer dans les prochains mois.
Au 28 mars 2020, 12 000 tests par PCR sont réalisés chaque jour, et d’ici la fin du mois d’avril ce sont 50 000 tests classiques qui seront réalisables.
En parallèle, des tests rapides sont dorénavant disponibles et la France en a commandé 5 millions. La capacité des tests rapides sera portée à 30 000 par jour en avril, 60 000 en mai pour atteindre les 100 000 tests rapides au mois de juin. ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Dépistage,Pourquoi ne plus tester tous les patients avec symptômes ?,Devant l’augmentation du nombre de cas, la recherche systématique de sujets contacts est devenue inutile. Tester tous les patients présentant des symptômes ou non conduirait à saturer la filière de dépistage alors que pour les cas graves, le personnel soignant et les structures collectives de personnes fragiles, le dépistage permet toujours de prendre des mesures immédiates (par exemple pour prévenir la diffusion du virus au sein d’un hôpital lorsqu’un patient est hospitalisé). Le décompte des cas ne se fonde plus uniquement sur les cas diagnostiqués biologiquement, mais sur des estimations épidémiologiques, comme cela se fait pour la grippe tous les ans (nombre de consultations, nombre de cas graves ou de décès…). Ces modifications reflètent donc une volonté d’adapter la réponse en fonction de l’évolution de la propagation du coronavirus dans les différents territoires.,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Dépistage,Comment se passent les tests ? ,"Pour les populations concernées (cf question précédente), il y a plusieurs possibilités de tests :
- Pour les patients diagnostiqués à l’hôpital ou avec signes de gravité, ces tests seront réalisés dans les hôpitaux. 
- Pour les autres patients répondants aux critères de dépistage, il est possible d’être testé dans les laboratoires en ville, après contact du médecin traitant et prescription médicale. Les prélèvements seront réalisés à domicile. Il ne faut en aucun cas se rendre directement dans les laboratoires de biologie, mais les appeler au préalable, et seulement si on a une prescription médicale, car il existe un grand risque de contaminer d’autres malades, notamment les plus fragiles.

Concernant les patients non testés, ils sont diagnostiqués COVID-19 sur signes cliniques par un médecin. Les modalités de prise en charge médicale entre patients testés ou non restent identiques. ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Existe-t-il un vaccin ?,"Il n’existe pas de vaccin contre le coronavirus COVID-19 pour le moment. De nombreux laboratoires travaillent sur l’élaboration de vaccins, mais ceux-ci ne devraient pas être disponibles avant plusieurs mois. 
Concernant les traitements, plusieurs sont en cours d’évaluation en France, en lien avec l’OMS pour être utilisés contre le coronavirus COVID-19.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,La prise d'anti-inflammatoire (ibuprofène) pourrait être un facteur d'aggravation de l'infection ?,"De manière générale, l’auto-médication par anti-inflammatoires doit être proscrite. De plus, il semblerait que les anti-inflammatoires non stéroïdiens pourraient être un facteur d’aggravation de l'infection.
Ainsi, dans le cas d’une infection au coronavirus COVID-19, le paracétamol est recommandé. Si vous êtes déjà sous anti-inflammatoires ou en cas de doute, demandez conseil à votre médecin ou consultez le site https://www.covid19-medicaments.com/ (réalisé avec le Réseau Français des Centres Régionaux de Pharmacovigilance).",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Les hôpitaux connaissent-ils une pénurie de médicaments ? Cela pourrait-il arriver ?,Les hôpitaux du monde entier se retrouvent confrontés à des besoins croissants en matière de médicaments utilisés réanimation. Nous pourrions avoir dans les semaines qui viennent des tensions d’approvisionnement sur certains produits.. Lorsqu’elles sont localisées, ces tensions sont maîtrisées en assurant la coordination et la circulation des produits sur l’ensemble du territoire, notamment à partir du stock national. Nous encourageons également l’augmentation de la production nationale, lorsque c’est possible, et l’augmentation de la production mondiale. Des initiatives mondiales sont en train d'être prises par les acteurs économiques et les industriels pour augmenter les capacités de production et faire face à la demande croissante. En outre, nous mobilisons actuellement tous les moyens de l’Etat pour acheter ces produits en quantité importante. ,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Risque-t-on une pénurie de bouteilles d’oxygène ?,"Il n'y a pas de problème de production en oxygène, ni d'approvisionnement du vrac ou de livraison. Concernant les bouteilles en elle-même (contenant en métal), il existe des tensions liées aux délais de production.
Il n’y a cependant pas de risque de pénurie, mais il est demandé aux hôpitaux :
-       de restituer le plus vite possible les bouteilles vides afin de pouvoir les décontaminer (48 heures sont nécessaires), les remplir et les livrer ;
-       d'utiliser en premier lieu le vrac (citernes des hôpitaux), plutôt que les bouteilles.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,La vente de paracétamol est-elle limitée ? ,L’Agence nationale de sécurité du médicament (ANSM) a décidé, afin de garantir leur disponibilité, qu’à partir du 18 mars 2020, les pharmaciens pourront délivrer sans ordonnance une seule boite de paracétamol (500 mg ou 1g) par patient ne présentant aucun symptôme, ou deux boites (500 mg ou 1g) en cas de symptômes (douleurs et/ou fièvre). La vente sur Internet des médicaments à base de paracétamol, d'ibuprofène et d'aspirine est suspendue.,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Y a-t-il un risque de pénurie de curare ? ,"Il existe une tension sur les marchés mondiaux en matière d'approvisionnement en médicaments spécifiquement liés au service de réanimation car aucun système sanitaire n'a été pensé pour faire face à une telle vague épidémique et car tous les systèmes de santé du monde sont confrontés à cette vague en même temps.
La situation du curare, comme pour les autres médicaments, a été anticipée. Il faut noter  que les curares ne sont pas indispensables dans la prise en charge des détresses respiratoires, mais essentiellement indiqués dans les formes les plus sévères.
Ce risque spécifique d’une pénurie de curare a fait l’objet de groupes de travail avec les professionnels.
Tous les moyens sont actuellement mis en œuvre pour permettre de garantir l’accès au curare aux patients qui le nécessitent :
-        actions auprès des industriels pour augmenter l’approvisionnement de la France ;
-        meilleure régulation des stocks détenus dans les établissements de santé sur le territoire en lien avec les ARS ; 
-        priorisation des indications en lien avec les sociétés savantes et optimisation des protocoles, y compris dans les autres indications nécessitant des curares ;
-        objectif de réduction de 20% de la consommation de curare sans risque pour le patient avec déploiement du monitorage de la curarisation.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,La chloroquine est-elle vraiment un remède miracle contre le coronavirus ?,"À ce stade, l’efficacité de la chloroquine dans le traitement de l’infection à COVID-19 n’a pas été scientifiquement démontrée. Le Haut-Conseil de Santé Publique recommande de ne pas utiliser ce traitement en l’absence de recommandation à l’exception des cas graves à l’hôpital, sur décision collégiale des médecins, et sous surveillance stricte.
Le Haut Conseil exclut toute prescription dans la population générale et pour des formes non sévères en l’absence de toutes données probantes pour le moment.
Le ministre des Solidarités et de la Santé prendra prochainement un arrêté pour encadrer l’utilisation du médicament, qui sera accessible aux équipes hospitalières qui le souhaitent pour l’utiliser selon ces orientations précises. Il ne s’agit pas d’une autorisation de mise sur le marché ni d’une d’une utilisation libre.
D’importantes études cliniques, sur plusieurs milliers de malades en Europe dont 800 malades en France, sont en cours pour identifier le ou les traitements les plus efficaces. ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Pourquoi transférer les personnes infectées dans d’autres hôpitaux plutôt que de réquisitionner des gymnases et les soigner sur place ?,"Les personnes transférées lors des évacuations sanitaires (EVASAN) sont des patients avec des formes graves, nécessitant un lit de réanimation. La mise en place d’un lit de réanimation nécessite une équipe formée et du matériel lourd (respirateur, matériel de surveillance continue).
Il n’est donc pas possible de les soigner dans des gymnases réquisitionnés car ce ne sont pas des lieux appropriés pour une telle prise en charge.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Quelles pistes en cours pour un traitement contre le COVID-19 ?,Les patients infectés par le coronavirus bénéficient aujourd’hui de traitements symptomatiques. Un grand essai clinique a démarré au niveau européen pour évaluer plusieurs traitements. Cet essai, dénommé DISCOVERY, a pour but d’évaluer l’efficacité et la sécurité de quatre stratégies thérapeutiques expérimentales qui pourraient avoir un effet contre le COVID-19. Les molécules testées sont le Remdesivir, l’association Lopinavir + Ritonavir, l’association Lopinavir + Ritonavir + interféron beta et enfin l’hydroxychloroquine. L’essai compte inclure notamment 800 patients en France. Il y a donc de nombreuses pistes thérapeutiques potentielles, mais dont l’efficacité et l’innocuité doivent être démontrées. Pour le moment aucune n’est favorisée et, aucun traitement spécifique n’est validé.,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Traitement,Qu’est-ce qu’un essai clinique ? ,Un essai clinique est une étude scientifique réalisée pour évaluer l’efficacité et la sécurité d’une méthode diagnostique ou d’un traitement. Le plus souvent, on compare deux groupes de malades au profil similaire. Dans un groupe, on donne le nouveau traitement, et dans un autre groupe, on donne un comparateur (placebo ou traitement normalement utilisé). A l’issue de l’essai, on évalue si le nouveau traitement est plus efficace ou pas, et on évalue s’il présente trop de risques pour les malades. C’est donc une étape indispensable pour obtenir la preuve de l’efficacité d’un traitement, et ne pas exposer les malades à des risques liés au médicament.,,,,,,,,,,,,,
